Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,ProBowl,POS_C,POS_DB,POS_DE,POS_DT,POS_K,POS_LB,POS_OG,POS_OT,POS_QB,POS_RB,POS_S,POS_TE,POS_WR
-1.4888341465315058,-0.9333032086326508,-1.2891434335092573,-0.9914678707370016,-0.050020927947053144,0.49689429750186936,0.719184497365802,-0.8398980358161999,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.400949871438697,0.5753937555900063,0.5019810276390114,0.9776470197611972,-1.364372909798505,-1.0627147681550653,0.719184497365802,1.249481654216828,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.47654123215750616,0.863821116397279,1.0230354163366902,0.48536829713664753,-1.12539982218915,-0.8547668927341406,-0.3404792944019374,1.249481654216828,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6195334982652135,-0.8445563283842593,-0.5726936490499505,-1.976025315986101,-0.050020927947053144,0.08099854666002014,0.40521004054573034,-0.7367187918639537,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.043476437548567,0.7307007960246916,0.1437561354093594,-0.17100333302941875,-0.8864267345797952,-0.5428450796027536,0.287469619238206,0.11450997074209535,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.05259829287415276,-0.7114360080116718,-0.40986415258192366,-0.896293984362922,-0.288994015556408,-0.23092326647136677,0.24822281213569794,-0.8398980358161999,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.5439421375464044,-0.44519536726649706,-0.34473235399471525,-0.17100333302941875,-0.288994015556408,0.28894642208094473,-1.007675015144589,-0.4013862490191446,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.8544980357515467,0.9747547167077685,0.7625082219878508,0.48536829713664753,-1.2448863659938274,-1.374636581286452,1.5433674465184894,1.4558401421213252,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.9218989411404449,-1.0886102490673362,-0.7680890448115786,-0.8273749631954851,-0.288994015556408,0.7048421729227939,0.5229504618532581,-0.6851291698878283,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.2324548393455872,-0.02364768608663697,0.1437561354093594,-0.003628567337071935,-1.0059132783844726,-0.5428450796027536,0.13048239082817017,-0.16923295012658615,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-2.169156393000778,-1.8429587311786648,-0.7029572462243702,-0.8437842539496366,-0.288994015556408,0.28894642208094473,-0.026504837581865694,-0.7367187918639537,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.6195334982652135,1.1522484772045518,1.0556013156302944,0.649461204678164,-1.961805628821892,-1.7905323321283013,1.3863802181084537,1.0947127882884566,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.3754471054532946,-1.15517040925363,-0.9634844405732096,-2.4683040386106505,-0.050020927947053144,0.08099854666002014,-0.615206944119501,-0.7367187918639537,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.6277239535951246,0.42008671515532103,1.185864912804714,-0.9914678707370016,-2.559238347845279,-2.3104020206806126,0.679937690263294,0.11450997074209535,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.8667909501255464,-0.8667430484463572,0.046058437528543876,-0.8273749631954851,-0.8864267345797952,0.08099854666002014,-1.4393898932721885,-0.4013862490191446,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.21197146964167668,0.22040623459643993,-0.21446875682029554,1.9622044650102966,-0.288994015556408,-0.12694932876090448,-1.1646622435546248,-0.2982070050668961,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9678850768297578,0.886007836459377,0.6973764234006424,0.8135541122196807,-0.288994015556408,-0.7507929550236783,0.16972919793067826,1.249481654216828,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7789066750327375,-0.11239456633502856,0.013492538234939672,-0.003628567337071935,-1.4838594536031822,-0.5428450796027536,-0.3012324872994293,-0.16923295012658615,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.1108773429374652,-1.4657844901230004,-0.6052595483435547,-2.4683040386106505,-0.6474536469704403,0.08099854666002014,0.32671642634071413,-0.7367187918639537,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-1.1108773429374652,-0.8667430484463572,-0.6703913469307631,-0.17100333302941875,-0.5279671031657629,-0.7507929550236783,-0.4582197157094652,-0.6851291698878283,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
