,Year_x,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Year_y
1802,2007,Nick Folk,Arizona,K,73.38,225,4.8,14,32.9,114,4.42,7.31,2007
1803,2007,Dashon Goldson,Washington,FS,74.0,205,4.64,12,34.5,115,4.46,7.37,2011
1805,2007,Corey Graham,New Hampshire,CB,71.88,195,4.8,10,32.9,114,4.42,7.31,2011
1806,2007,Michael Griffin,Texas,SS,71.75,202,4.48,16,36.0,120,4.1,6.6,2008
1808,2007,Ben Grubbs,Auburn,OG,74.75,311,5.21,29,26.5,103,4.72,7.99,2011
1810,2007,Clark Harris,Rutgers,TE,77.5,261,4.81,21,32.0,112,4.4,7.21,2017
1811,2007,Calvin Johnson,Georgia Tech,WR,77.0,239,4.38,22,42.5,139,4.42,7.31,2010
1817,2007,Jacoby Jones,Lane College (TN),WR,74.63,210,4.55,22,34.0,129,4.31,7.03,2012
1818,2007,Ryan Kalil,Southern California,C,74.75,299,4.98,34,26.0,104,4.34,7.5,2009
1823,2007,LaRon Landry,Louisiana State,FS,72.5,213,4.38,22,37.5,123,4.42,7.31,2012
1824,2007,Marshawn Lynch,California,RB,71.13,215,4.48,20,35.5,125,4.55,7.05,2008
1829,2007,Le'Ron McClain,Alabama,FB,72.13,256,4.9,14,29.5,113,4.47,7.14,2008
1831,2007,Brandon Meriweather,Miami (FL),FS,70.63,195,4.5,11,35.0,111,4.33,7.06,2009
1833,2007,Zach Miller,Arizona State,TE,76.38,256,4.89,16,34.0,115,4.42,7.01,2010
1835,2007,Reggie Nelson,Florida,FS,71.38,198,4.51,22,34.5,126,4.15,6.67,2015
1837,2007,Greg Olsen,Miami (FL),TE,77.88,254,4.53,23,35.5,114,4.48,7.04,2014
1840,2007,Paul Posluszny,Penn State,OLB,73.63,238,4.71,22,37.0,116,4.2,6.94,2013
1841,2007,Darrelle Revis,Pittsburgh,CB,71.5,204,4.38,16,38.0,125,4.08,6.56,2008
1848,2007,Sidney Rice,South Carolina,WR,75.5,200,4.53,22,39.5,119,4.34,7.09,2009
1849,2007,Paul Soliai,Utah,DT,76.0,344,5.12,22,29.5,103,4.69,7.66,2011
1850,2007,Anthony Spencer,Purdue,DE,74.88,261,4.73,30,32.5,112,4.43,7.14,2012
1851,2007,Joe Staley,Central Michigan,OT,77.88,306,4.78,27,32.0,112,4.4,7.09,2011
1857,2007,Joe Thomas,Wisconsin,OT,78.63,311,4.94,28,33.0,110,4.88,7.95,2007
1867,2007,Lawrence Timmons,Florida State,OLB,72.88,234,4.67,25,35.0,123,4.32,6.89,2014
1868,2007,Eric Weddle,Utah,SS,71.25,203,4.5,11,33.5,113,4.12,6.78,2011
1886,2007,Patrick Willis,Mississippi,ILB,73.13,242,4.53,22,39.0,119,4.46,7.23,2007
1893,2007,LaMarr Woodley,Michigan,DE,73.5,266,4.74,29,38.5,117,4.42,7.31,2009
1894,2007,Marshal Yanda,Florida State,OT,75.88,307,5.15,23,27.0,101,4.58,7.36,2011
1902,2008,Branden Albert,Virginia,OG,77.63,309,5.21,23,26.0,111,4.78,7.97,2013
1904,2008,Cliff Avril,Purdue,OLB,74.88,253,4.63,27,32.5,117,4.51,6.9,2016
1905,2008,Gary Barnidge,Louisville,TE,77.63,243,4.64,22,31.0,117,4.23,6.92,2015
1906,2008,Martellus Bennett,Texas A&M,TE,78.13,259,4.75,18,34.0,118,4.53,7.64,2014
1907,2008,Duane Brown,Virginia Tech,OT,76.13,315,5.09,24,27.5,105,4.52,7.58,2012
1912,2008,Calais Campbell,Miami (FL),DE,79.75,290,5.11,16,29.5,111,4.69,7.45,2014
1918,2008,Jamaal Charles,Texas,RB,71.0,200,4.41,21,30.5,122,4.22,6.8,2010
1922,2008,Ryan Clady,Boise State,OT,78.13,309,5.18,24,31.0,108,4.73,7.07,2009
1926,2008,Thomas DeCoud,California,FS,73.38,207,4.56,9,35.5,122,4.27,6.85,2012
1927,2008,Jerome Felton,Furman (SC),FB,71.63,241,4.8,30,32.5,110,4.46,7.2,2012
1928,2008,Brandon Flowers,Virginia Tech,CB,69.75,189,4.59,14,30.0,117,4.08,6.72,2013
1929,2008,Justin Forsett,California,RB,68.0,194,4.62,26,26.5,112,4.46,6.96,2014
1930,2008,DeSean Jackson,California,WR,69.75,169,4.4,21,34.5,120,4.19,6.82,2009
1933,2008,Mike Jenkins,South Florida,CB,70.25,197,4.43,18,34.0,117,4.4,7.21,2009
1934,2008,Chris Johnson,East Carolina (NC),RB,71.0,197,4.3,21,35.0,130,4.43,7.31,2008
1937,2008,Jake Long,Michigan,OT,79.0,313,5.26,37,27.5,102,4.73,7.44,2008
1941,2008,Jerod Mayo,Tennessee,ILB,73.25,242,4.59,22,32.0,114,4.29,7.31,2010
1943,2008,Jordy Nelson,Kansas State,WR,74.63,217,4.55,21,31.0,123,4.35,7.03,2014
1944,2008,Carl Nicks,Nebraska,OT,76.88,341,5.26,31,25.5,109,4.68,7.91,2010
1946,2008,Marcel Reece,Washington,FB,72.13,231,4.42,21,36.5,114,4.26,7.2,2012
1949,2008,Ray Rice,Rutgers,RB,68.0,199,4.46,23,31.5,119,4.2,6.65,2009
1952,2008,Dominique Rodgers-Cromartie,Tennessee State,CB,73.5,184,4.36,17,38.5,131,4.17,6.74,2009
1954,2008,Matt Ryan,Boston College,QB,76.75,228,4.94,21,30.4,115,4.51,7.4,2010
1958,2008,Josh Sitton,Central Florida,OT,75.63,319,5.2,28,30.4,108,4.5,7.55,2012
1962,2008,Matthew Slater,Texas,FS,70.63,195,4.44,11,33.0,121,4.4,7.31,2011
1972,2008,Jonathan Stewart,Oregon,RB,70.25,235,4.48,28,36.5,128,4.53,7.44,2015
1974,2008,Aqib Talib,Kansas,CB,72.75,202,4.5,10,38.0,131,4.22,6.82,2013
1979,2008,Jeremy Zuttah,Rutgers,OT,75.38,303,5.07,35,26.5,107,4.54,7.59,2016
1980,2009,Connor Barwin,Cincinnati,OLB,75.63,256,4.59,21,40.5,128,4.18,6.87,2014
1981,2009,Jairus Byrd,Oregon,CB,70.13,207,4.68,15,35.0,113,4.1,6.75,2009
1984,2009,Jared Cook,South Carolina,TE,77.0,246,4.49,23,41.0,123,4.45,7.31,2018
1986,2009,Brian Cushing,Southern California,OLB,74.88,243,4.64,30,35.0,120,4.22,6.84,2009
1987,2009,Vontae Davis,Illinois,CB,71.13,203,4.4,25,36.0,125,4.07,6.75,2014
1989,2009,Arian Foster,Tennessee,RB,72.75,226,4.68,23,32.0,115,4.53,7.09,2010
1993,2009,Graham Gano,Florida State,K,72.38,194,4.78,22,33.0,113,4.45,7.31,2017
1994,2009,Percy Harvin,Florida,WR,71.13,192,4.39,19,37.5,121,4.45,7.31,2009
1995,2009,Kevin Huber,Cincinnati,P,72.88,220,4.78,22,33.0,113,4.45,7.31,2014
1996,2009,Malcolm Jenkins,Ohio State,CB,72.13,204,4.51,15,33.0,124,4.08,6.59,2015
2000,2015,David Johnson,Northern Iowa,RB,72.63,224,4.5,25,41.5,127,4.27,6.82,2016
2001,2009,Johnny Knox,Abilene Christian (TX),WR,71.5,185,4.29,22,35.0,122,4.15,6.81,2009
2002,2009,T.J. Lang,Eastern Michigan,OG,76.0,316,5.15,30,26.5,113,4.42,7.31,2016
2004,2009,Alex Mack,California,C,75.88,311,5.17,20,28.5,106,4.75,7.31,2010
2011,2009,Clay Matthews,Southern California,OLB,75.13,240,4.62,23,35.5,121,4.18,6.9,1987
2020,2009,Pat McAfee,West Virginia,K,71.5,228,4.78,22,33.0,113,4.45,7.31,2014
2022,2009,LeSean McCoy,Pittsburgh,RB,70.38,198,4.5,17,29.0,107,4.18,6.82,2011
2028,2009,Henry Melton,Texas,DE,75.63,269,4.64,22,34.5,121,4.45,7.31,2012
2029,2009,William Moore,Missouri,SS,72.13,221,4.56,16,37.0,123,4.26,6.81,2012
2030,2009,Thomas Morstead,Southern Methodist (TX),P,76.25,225,4.88,19,33.0,113,4.45,7.31,2012
2031,2009,Brian Orakpo,Texas,DE,75.0,263,4.63,31,39.5,130,4.45,7.26,2009
2035,2009,Cedric Peerman,Virginia,RB,69.5,216,4.34,27,40.0,117,4.29,6.99,2015
2036,2009,Glover Quin,New Mexico,FS,70.75,204,4.5,22,38.0,119,4.43,7.39,2014
2037,2009,B.J. Raji,Boston College,DT,73.5,337,5.12,33,32.0,103,4.69,7.9,2011
2038,2009,Matthew Stafford,Georgia,QB,74.25,225,4.81,22,30.5,107,4.47,7.06,2014
2039,2009,Max Unger,Oregon,C,76.63,309,5.26,22,24.5,93,4.5,7.39,2012
2042,2009,Louis Vasquez,Texas Tech,OG,76.75,333,5.22,39,30.5,103,4.94,7.66,2013
2043,2009,Mike Wallace,Mississippi,WR,72.38,199,4.28,14,40.0,129,4.27,6.9,2011
2044,2009,Eric Wood,Louisville,C,75.88,310,5.19,30,30.5,99,4.51,7.56,2015
2045,2010,Geno Atkins,Georgia,DT,73.38,293,4.75,34,33.0,117,4.43,7.33,2011
2053,2010,Zane Beadles,Utah,OG,76.38,310,5.28,27,33.6,113,4.43,7.31,2012
2054,2010,Eric Berry,Tennessee,FS,71.63,211,4.4,19,43.0,130,4.23,6.8,2010
2059,2010,Antonio Brown,Central Michigan,WR,70.13,186,4.56,13,33.5,105,4.18,6.98,2011
2066,2010,Dez Bryant,Oklahoma State,WR,74.0,225,4.52,14,38.0,133,4.46,7.1,2013
2069,2010,Kam Chancellor,Virginia Tech,FS,75.25,231,4.62,22,32.0,116,4.41,7.36,2011
2073,2010,Carlos Dunlap,Florida,DE,77.75,278,4.68,21,31.5,111,4.61,7.21,2015
2075,2010,Brandon Graham,Michigan,OLB,73.38,268,4.71,31,31.5,111,4.25,7.01,2020
2076,2010,Jimmy Graham,Miami (FL),TE,78.25,260,4.53,15,38.5,120,4.45,6.9,2011
2081,2010,Jermaine Gresham,Oklahoma,TE,77.25,261,4.66,20,35.0,113,4.53,7.07,2011
2083,2010,Everson Griffen,Southern California,DE,75.38,273,4.65,32,34.0,115,4.36,7.25,2015
2087,2010,Rob Gronkowski,Arizona,TE,78.25,258,4.68,23,33.5,119,4.47,7.18,2011
2092,2010,Joe Haden,Florida,CB,70.75,193,4.52,18,35.0,125,4.34,6.94,2013
2095,2010,Greg Hardy,Mississippi,DE,76.0,281,4.82,21,35.0,117,4.65,7.25,2013
2096,2010,Mike Iupati,Idaho,OG,77.13,331,5.24,27,27.5,92,4.93,7.85,2012
2100,2010,Reshad Jones,Georgia,SS,73.25,214,4.51,24,39.5,118,4.54,7.43,2015
2102,2010,Linval Joseph,East Carolina (NC),DT,76.5,328,5.09,39,30.0,100,4.71,8.12,2016
2104,2010,Sean Lee,Penn State,ILB,74.13,236,4.71,24,37.5,120,4.16,6.89,2015
2106,2010,Marc Mariani,Montana,WR,72.88,190,4.48,11,36.5,123,4.23,6.83,2010
2107,2010,Ryan Mathews,Frenso State (CA),RB,71.63,218,4.37,19,36.0,121,4.33,7.0,2011
2108,2010,Dexter McCluster,Mississippi,WR,68.75,172,4.53,20,37.5,118,4.06,6.73,2013
2109,2010,Devin McCourty,Rutgers,CB,70.75,193,4.38,16,36.0,126,4.07,6.7,2010
2111,2010,Gerald McCoy,Oklahoma,DT,76.13,295,5.04,23,30.5,114,4.48,7.32,2012
2117,2010,Russell Okung,Oklahoma State,OT,77.25,307,5.18,38,32.5,105,4.8,7.79,2012
2119,2010,Jason Pierre-Paul,South Florida,DE,76.75,270,4.71,19,30.5,115,4.67,7.18,2011
2122,2010,Maurkice Pouncey,Florida,C,76.5,304,5.25,25,27.0,95,4.92,7.74,2010
2131,2010,Andre Roberts,Citadel (SC),WR,70.88,195,4.4,15,36.0,120,4.15,6.77,2018
2134,2010,Rodger Saffold,Indiana,OT,76.63,316,5.21,27,29.5,113,4.67,7.42,2021
2136,2010,Emmanuel Sanders,Southern Methodist (TX),WR,70.88,186,4.4,12,39.5,126,4.1,6.64,2014
2138,2010,Sam Shields,Miami (FL),CB,70.75,184,4.3,15,39.0,133,4.19,6.79,2014
2139,2010,Mickey Shuler,Penn State,TE,76.13,251,4.63,28,37.5,131,4.25,6.77,1988
2140,2010,C.J. Spiller,Clemson,RB,70.63,196,4.27,18,36.0,126,4.43,7.31,2012
2141,2010,Darian Stewart,South Carolina,SS,71.0,213,4.53,12,37.0,122,4.32,6.89,2016
2142,2010,Darrell Stuckey,Kansas,SS,71.5,205,4.46,17,39.5,120,4.43,7.31,2014
2143,2010,Ndamukong Suh,Nebraska,DT,75.88,307,5.03,32,35.5,105,4.44,7.21,2010
2148,2010,Golden Tate,Notre Dame,WR,70.25,199,4.42,17,35.0,120,4.34,7.12,2014
2149,2010,Demaryius Thomas,Georgia Tech,WR,75.25,224,4.75,21,33.6,113,4.43,7.31,2012
2153,2010,Earl Thomas,Texas,CB,70.25,202,4.43,21,32.0,113,4.43,7.31,2011
2160,2010,Alterraun Verner,UCLA,CB,70.13,189,4.52,11,32.0,116,4.12,6.7,2013
2161,2010,T.J. Ward,Oregon,SS,70.5,211,4.56,19,34.0,121,4.12,7.0,2013
2163,2010,Daryl Washington,Texas Christian,OLB,73.75,230,4.58,17,31.0,114,4.43,7.07,2012
2164,2010,Trent Williams,Oklahoma,OT,76.63,315,4.81,23,34.5,113,4.63,7.64,2012
2174,2011,Dan Bailey,Oklahoma State,K,72.25,193,4.77,21,32.7,114,4.37,7.31,2015
2175,2011,Nick Bellore,Central Michigan,ILB,73.0,245,4.84,23,32.5,109,4.0,6.98,2020
2176,2011,Jordan Cameron,Southern California,TE,77.25,254,4.53,23,37.5,119,4.03,6.82,2013
2177,2011,Jurrell Casey,Southern California,DT,72.63,300,5.04,26,27.5,101,4.78,7.51,2015
2182,2011,Randall Cobb,Kentucky,WR,70.25,191,4.46,16,33.5,115,4.34,7.08,2014
2183,2011,Andy Dalton,Texas Christian,QB,74.0,215,4.83,21,29.5,106,4.27,6.93,2011
2186,2011,Marcell Dareus,Alabama,DT,75.13,319,4.93,24,27.0,106,4.62,7.83,2013
2188,2011,A.J. Green,Georgia,WR,75.63,211,4.48,18,34.5,126,4.21,6.91,2011
2202,2011,Cameron Heyward,Ohio State,DE,76.63,294,4.92,21,30.0,114,4.37,7.31,2017
2208,2011,Justin Houston,Georgia,OLB,74.88,270,4.62,30,36.5,125,4.37,6.95,2012
2212,2011,Rodney Hudson,Florida State,C,74.38,299,5.27,27,25.5,95,4.96,8.03,2016
2215,2011,Julio Jones,Alabama,WR,74.75,220,4.34,17,38.5,135,4.25,6.66,2012
2222,2011,Cameron Jordan,California,DE,76.13,287,4.74,25,31.0,117,4.37,7.07,2013
2230,2011,Jason Kelce,Cincinnati,C,74.63,280,4.89,21,30.5,110,4.14,7.22,2014
2236,2011,Greg Lloyd,Connecticut,ILB,73.13,246,4.8,22,32.0,109,4.46,7.17,1991
2241,2011,Von Miller,Texas A&M,OLB,74.63,246,4.42,21,37.0,126,4.06,6.7,2011
2249,2011,DeMarco Murray,Oklahoma,RB,71.63,213,4.37,21,34.5,130,4.18,7.28,2013
2252,2011,Cam Newton,Auburn,QB,77.0,248,4.56,21,35.0,126,4.18,6.92,2011
2255,2011,Patrick Peterson,Louisiana State,CB,72.25,219,4.31,15,38.0,126,4.07,6.58,2011
2263,2011,Mike Pouncey,Florida,OG,77.0,303,5.12,24,25.0,96,4.64,7.66,2013
2267,2011,Robert Quinn,North Carolina,DE,76.0,265,4.62,22,34.0,116,4.4,7.13,2013
2270,2011,Kyle Rudolph,Notre Dame,TE,78.13,259,4.83,19,34.5,113,4.37,7.24,2012
2272,2011,Anthony Sherman,Connecticut,FB,70.25,242,4.74,32,32.5,111,4.41,7.23,2018
2273,2011,Richard Sherman,Stanford,CB,74.63,195,4.54,16,38.0,125,4.33,6.82,2013
2278,2011,Aldon Smith,Missouri,DE,76.25,263,4.74,20,34.0,118,4.5,7.19,2012
2279,2011,Tyron Smith,Southern California,OT,77.0,307,5.08,29,29.0,109,4.68,7.47,2013
2287,2011,Tyrod Taylor,Virginia Tech,QB,72.75,217,4.47,21,37.5,126,4.09,6.78,2015
2288,2011,Julius Thomas,Portland State (OR),TE,76.63,246,4.64,16,35.5,111,4.31,6.96,2013
2290,2011,Muhammad Wilkerson,Temple,DT,76.13,315,4.96,27,26.0,106,4.59,7.31,2015
2291,2012,Bryan Anger,California,P,75.63,208,4.86,21,33.1,115,4.38,7.31,2021
2292,2012,Justin Bethel,Presbyterian (SC),FS,71.63,200,4.52,19,39.5,131,4.3,6.79,2013
2295,2012,Brandon Brooks,Miami (OH),OG,77.0,346,4.99,36,32.0,105,4.53,7.37,2017
2298,2012,Zach Brown,North Carolina,OLB,73.25,244,4.44,22,33.5,116,4.32,7.26,2016
2299,2012,Vontaze Burfict,Arizona State,ILB,73.38,248,5.0,16,30.0,104,4.56,7.51,2013
2300,2012,Kirk Cousins,Michigan State,QB,74.63,214,4.84,21,28.5,109,4.5,7.05,2016
2304,2012,Fletcher Cox,Mississippi State,DT,76.0,298,4.77,30,26.0,103,4.53,7.07,2015
2310,2012,Mike Daniels,Iowa,DT,72.5,291,4.84,21,33.1,115,4.38,7.31,2017
2311,2012,Lavonte David,Nebraska,OLB,72.63,233,4.57,19,36.5,119,4.22,7.28,2015
2312,2012,Demario Davis,Arkansas State,OLB,74.0,235,4.49,32,38.5,124,4.28,7.19,2022
2313,2012,David DeCastro,Stanford,OG,76.88,316,5.32,34,29.5,98,4.56,7.3,2015
2319,2012,Nick Foles,Arizona,QB,77.0,243,5.03,21,30.5,112,4.68,7.14,2013
2320,2012,Stephon Gilmore,South Carolina,CB,72.5,190,4.38,15,36.0,123,3.94,6.61,2016
2325,2012,Casey Hayward,Vanderbilt,CB,71.38,192,4.47,19,34.0,119,3.9,6.76,2016
2327,2012,Akiem Hicks,Regina (Canada),DT,76.63,318,5.21,26,31.5,108,4.86,7.75,2018
2328,2012,Dont'a Hightower,Alabama,ILB,74.25,265,4.62,21,32.0,117,4.64,7.55,2016
2330,2012,T.Y. Hilton,Florida International,WR,69.5,183,4.37,7,35.5,119,4.36,7.03,2014
2334,2012,Melvin Ingram,South Carolina,OLB,73.5,264,4.69,28,34.5,109,4.18,6.83,2017
2337,2012,Alshon Jeffery,South Carolina,WR,74.88,216,4.48,21,36.5,122,4.17,6.71,2013
2338,2012,Ben Jones,Georgia,C,74.63,303,5.35,29,30.5,105,4.74,7.95,2022
2339,2012,Chandler Jones,Syracuse,DE,77.38,266,4.77,22,35.0,120,4.38,7.07,2015
2343,2012,Matt Kalil,Southern California,OT,78.63,306,4.96,30,27.0,115,4.65,7.33,2012
2344,2012,Luke Kuechly,Boston College,ILB,75.25,242,4.58,27,38.0,123,4.12,6.92,2013
2351,2012,Andrew Luck,Stanford,QB,76.0,234,4.59,21,36.0,124,4.28,6.8,2012
2355,2012,Doug Martin,Boise State,RB,69.25,223,4.46,28,36.0,120,4.16,6.79,2012
2357,2012,Lamar Miller,Miami (FL),RB,70.75,212,4.34,21,33.0,120,4.08,6.94,2018
2358,2012,Alfred Morris,Florida Atlantic,RB,69.88,219,4.63,16,35.5,117,4.19,7.01,2013
2360,2012,Kelechi Osemele,Iowa State,OT,77.5,333,5.22,32,26.5,104,4.87,7.91,2016
2362,2012,Dontari Poe,Memphis,DT,75.5,346,4.89,44,29.5,105,4.56,7.9,2013
2364,2012,Ryan Tannehill,Texas A&M,QB,75.88,221,4.65,21,33.1,115,4.38,7.31,2019
2365,2012,Olivier Vernon,Miami (FL),DE,74.13,261,4.73,31,34.5,122,4.5,7.39,2018
2366,2012,Bobby Wagner,Utah State,OLB,72.38,241,4.46,24,39.5,132,4.28,7.1,2014
2374,2012,Blair Walsh,Georgia,K,69.25,187,4.96,21,33.1,115,4.38,7.31,2012
2375,2012,Russell Wilson,Wisconsin,QB,70.63,204,4.53,21,34.0,118,4.09,6.97,2012
2384,2012,Greg Zuerlein,Missouri Western,K,72.0,187,4.86,21,33.1,115,4.38,7.31,2017
2385,2013,Keenan Allen,California,WR,74.0,206,4.78,20,32.6,115,4.43,7.31,2017
2390,2013,C.J. Anderson,California,RB,68.13,224,4.6,17,32.0,119,4.12,7.15,2014
2391,2013,Terron Armstead,Arkansas-Pine Bluff,OT,76.75,306,4.71,31,34.5,112,4.72,7.62,2018
2395,2013,David Bakhtiari,Colorado,OT,76.25,299,5.18,28,25.5,101,4.74,7.7,2016
2398,2013,Le'Veon Bell,Michigan State,RB,73.38,230,4.6,24,31.5,118,4.24,6.75,2014
2401,2013,Jamie Collins,Southern Mississippi,OLB,75.5,250,4.64,19,41.5,139,4.32,7.1,2015
2402,2013,Tyler Eifert,Notre Dame,TE,77.5,250,4.68,22,35.5,119,4.32,6.92,2015
2403,2013,Zach Ertz,Stanford,TE,77.0,249,4.76,24,30.5,111,4.47,7.08,2017
2406,2013,Eric Fisher,Central Michigan,OT,79.25,306,5.05,27,28.5,116,4.44,7.59,2018
2408,2013,Travis Frederick,Wisconsin,C,75.63,312,5.58,21,28.5,97,4.76,7.81,2014
2413,2013,DeAndre Hopkins,Clemson,WR,73.0,214,4.57,15,36.0,115,4.5,6.83,2015
2418,2013,Micah Hyde,Iowa,CB,71.75,197,4.56,12,33.0,121,4.2,6.78,2017
2419,2013,Ryan Jensen,Colorado State-Pueblo,OG,75.5,317,5.23,30,25.5,98,4.56,7.69,2021
2420,2013,Lane Johnson,Oklahoma,OT,78.0,303,4.72,28,34.0,118,4.52,7.31,2017
2424,2013,Kyle Juszczyk,Harvard,FB,73.25,248,4.71,24,37.0,121,4.19,6.93,2016
2431,2013,Travis Kelce,Cincinnati,TE,76.88,257,4.63,20,35.0,124,4.42,7.09,2015
2439,2013,Eddie Lacy,Alabama,RB,71.0,220,4.55,20,33.5,115,4.43,7.33,2013
2440,2013,Kyle Long,Oregon,OT,78.13,313,4.94,20,28.0,107,4.63,7.83,2013
2443,2013,Eric Martin,Nebraska,OLB,72.75,237,4.53,20,30.5,120,3.97,6.69,1988
2444,2013,Tyrann Mathieu,Louisiana State,CB,68.75,186,4.5,4,34.0,117,4.14,6.87,2015
2447,2013,Latavius Murray,Central Florida,RB,74.63,223,4.38,22,36.0,124,4.36,6.81,2015
2448,2013,Cordarrelle Patterson,Tennessee,WR,73.88,216,4.42,20,37.0,128,4.4,7.28,2013
2452,2013,Jordan Poyer,Oregon State,CB,71.88,191,4.54,8,30.5,118,4.18,6.87,2022
2453,2013,Jordan Reed,Florida,TE,74.5,236,4.72,16,32.6,115,4.43,7.31,2016
2454,2013,Eric Reid,Louisiana State,FS,73.25,213,4.53,17,40.5,134,4.22,6.99,2013
2455,2013,Xavier Rhodes,Florida State,CB,73.5,210,4.43,14,40.5,132,4.65,7.29,2016
2458,2013,Sheldon Richardson,Missouri,DT,74.5,294,5.02,30,32.0,116,4.59,7.33,2014
2459,2013,Kawann Short,Purdue,DT,74.88,299,5.08,29,27.0,100,4.65,7.55,2015
2461,2013,Darius Slay,Mississippi State,CB,71.88,192,4.36,14,35.5,124,4.21,6.9,2017
2466,2013,Geno Smith,West Virginia,QB,74.38,218,4.58,20,33.5,124,4.43,7.31,2022
2467,2013,Desmond Trufant,Washington,CB,71.63,190,4.38,16,37.5,125,3.85,6.67,2015
2468,2013,Larry Warford,Kentucky,OG,75.0,332,5.58,28,22.5,96,5.1,7.78,2017
2471,2014,Davante Adams,Frenso State (CA),WR,72.88,212,4.56,14,39.5,123,4.3,6.82,2017
2477,2014,Anthony Barr,UCLA,OLB,76.88,255,4.66,15,34.5,117,4.19,6.82,2015
2481,2014,Joel Bitonio,Nevada,OT,76.25,302,4.97,22,32.0,113,4.44,7.37,2018
2486,2014,Chris Boswell,Rice (TX),K,74.25,185,4.77,20,32.7,114,4.41,7.31,2017
2487,2014,Teddy Bridgewater,Louisville,QB,74.13,214,4.79,20,30.0,112,4.2,7.17,2015
2488,2014,Derek Carr,Frenso State (CA),QB,74.38,214,4.69,20,34.5,110,4.2,7.31,2015
2492,2014,Jadeveon Clowney,South Carolina,DE,77.25,266,4.53,21,37.5,123,4.43,7.27,2016
2495,2014,Aaron Donald,Pittsburgh,DT,72.75,285,4.68,35,32.0,115,4.39,7.11,2014
2504,2014,Eric Ebron,North Carolina,TE,76.38,250,4.6,24,32.0,120,4.45,7.49,2018
2505,2014,Dee Ford,Auburn,DE,74.13,252,4.59,29,35.5,124,4.73,7.07,2018
2506,2014,Devonta Freeman,Florida State,RB,68.25,206,4.58,14,31.5,116,4.26,7.11,2015
2508,2014,Kyle Fuller,Virginia Tech,CB,71.75,190,4.49,12,38.5,127,4.19,6.9,2018
2512,2014,Jarvis Landry,Louisiana State,WR,71.5,205,4.65,12,28.5,110,4.59,7.56,2015
2517,2014,Taylor Lewan,Michigan,OT,79.13,309,4.87,29,30.5,116,4.49,7.39,2016
2520,2014,Corey Linsley,Ohio State,C,74.63,296,5.24,36,27.0,107,4.53,7.46,2021
2521,2014,Khalil Mack,Buffalo,OLB,74.63,251,4.65,23,40.0,127,4.18,7.08,2015
2528,2014,Zack Martin,Notre Dame,OT,76.25,308,5.22,29,28.0,104,4.59,7.65,2014
2536,2014,Jake Matthews,Texas A&M,OT,77.5,308,5.07,24,30.5,104,4.47,7.34,2018
2537,2014,Allen Robinson,Penn State,WR,74.63,220,4.6,20,39.0,126,4.0,7.0,2015
2538,2014,Ryan Shazier,Ohio State,OLB,73.13,237,4.58,25,42.0,128,4.21,6.91,2016
2540,2014,Telvin Smith,Florida State,OLB,75.0,218,4.52,16,31.5,117,4.57,7.04,2017
2541,2014,Will Smith,Texas Tech,OLB,74.13,231,4.59,17,37.5,113,4.53,7.04,2006
2542,2014,Trai Turner,Louisiana State,OG,74.63,310,4.93,25,27.5,102,4.77,8.16,2015
2547,2014,Jason Verrett,Texas Christian,CB,69.5,189,4.38,19,39.0,127,4.0,6.69,2015
2548,2015,Jay Ajayi,Boise State,RB,71.75,221,4.57,19,39.0,121,4.1,7.1,2016
2549,2015,D.J. Alexander,Oregon State,OLB,73.63,233,4.56,17,34.5,123,4.24,6.97,2016
2550,2015,Kwon Alexander,Louisiana State,OLB,72.75,227,4.55,24,36.0,121,4.2,7.14,2017
2551,2015,Vic Beasley,Clemson,OLB,75.0,246,4.53,35,41.0,130,4.15,6.91,2016
2552,2015,Trent Brown,Florida,OT,80.5,355,5.29,20,23.5,97,4.78,8.23,2019
2553,2015,Frank Clark,Michigan,DE,74.88,271,4.79,19,38.5,118,4.05,7.08,2019
2556,2015,Landon Collins,Alabama,SS,72.0,228,4.53,20,35.0,120,4.33,7.38,2016
2559,2015,Amari Cooper,Alabama,WR,72.88,211,4.42,20,33.0,120,3.98,6.71,2015
2563,2015,Quandre Diggs,Texas,CB,69.13,196,4.56,17,35.5,113,4.15,7.22,2020
2566,2015,Stefon Diggs,Maryland,WR,72.0,195,4.46,11,35.0,115,4.32,7.03,2020
2569,2015,Melvin Gordon,Wisconsin,RB,72.63,215,4.52,19,35.0,126,4.07,7.04,2016
2571,2015,Todd Gurley,Georgia,RB,72.63,222,4.52,17,32.6,114,4.44,7.31,2015
2574,2015,D.J. Humphries,Florida,OT,77.0,307,5.12,26,31.0,104,4.64,7.87,2021
2575,2015,Danielle Hunter,Louisiana State,DE,77.13,252,4.57,25,36.5,130,4.35,6.95,2018
2578,2015,Grady Jarrett,Clemson,DT,72.75,304,5.06,30,31.0,112,4.56,7.37,2019
2580,2015,Byron Jones,Connecticut,CB,72.63,199,4.49,18,44.5,147,3.94,6.78,2018
2581,2015,Eric Kendricks,UCLA,ILB,72.25,232,4.61,19,38.0,124,4.14,7.14,2019
2582,2015,Tyler Lockett,Kansas State,WR,69.88,182,4.4,20,35.5,121,4.07,6.89,2015
