,Year_x,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Year_y
1210,2000,Marcus Washington,Auburn,OLB,75.3,252,4.7,21,35.0,118,4.49,6.91,2004
1211,1999,Brian Waters,North Texas,TE,74.1,281,4.99,26,32.0,113,4.63,7.52,2004
1217,1999,Ricky Williams,Texas,RB,70.8,244,4.56,21,37.0,124,4.36,7.31,2002
1219,1999,Al Wilson,Tennessee,ILB,71.8,239,4.56,17,33.0,116,4.25,7.31,2001
1224,1999,Antoine Winfield,Ohio State,CB,68.6,176,4.41,21,37.0,122,3.95,6.84,2008
1227,2020,Antoine Winfield,Minnesota,S,69.13,203,4.45,20,36.0,124,4.46,7.31,2008
1230,1999,Damien Woody,Boston College,C,75.1,328,5.15,26,28.5,98,4.99,8.21,2002
1231,2000,Tom Brady,Michigan,QB,76.4,211,5.3,21,24.5,99,4.38,7.2,2001
1246,2000,Marc Bulger,West Virginia,QB,73.6,208,4.96,21,32.4,100,4.34,7.46,2003
1248,2000,Keith Bulluck,Syracuse,OLB,75.0,244,4.47,21,38.0,119,4.13,7.33,2003
1249,2000,Chad Clifton,Tennessee,OT,77.3,334,5.12,24,30.5,102,4.73,7.58,2007
1251,2000,Laveranues Coles,Florida State,WR,71.3,192,4.48,21,34.0,115,4.39,6.89,2003
1252,2000,Kabeer Gbaja-Biamila,San Diego State,OLB,76.0,243,4.65,21,34.0,120,4.28,6.9,2003
1253,2000,Ian Gold,Michigan,OLB,73.1,221,4.58,21,33.0,115,4.19,6.97,2001
1254,2000,Jamal Lewis,Tennessee,RB,71.8,240,4.58,23,32.4,112,4.39,7.31,2003
1255,2000,Marvel Smith,Arizona State,OT,77.0,320,5.34,24,27.5,100,4.84,7.87,2004
1256,2000,Adalius Thomas,Southern Mississippi,DE,74.4,270,4.57,21,38.5,120,4.42,7.31,2003
1258,2000,Brian Urlacher,New Mexico,OLB,75.9,258,4.61,27,34.0,122,4.18,6.94,2000
1266,2001,Alex Bannister,Eastern Kentucky,WR,76.6,201,4.5,20,30.5,110,4.37,7.31,2003
1267,2001,Kendrell Bell,Georgia,ILB,73.3,234,4.62,24,38.5,124,4.5,7.25,2001
1268,2001,Michael Bennett,Wisconsin,RB,69.3,207,4.44,13,39.5,130,4.37,7.31,2002
1272,2009,Michael Bennett,Texas A&M,DE,75.5,274,5.0,24,31.0,110,4.45,7.31,2002
1280,2001,Drew Brees,Purdue,QB,72.3,213,4.85,20,32.0,105,4.21,7.09,2004
1293,2001,Derrick Burgess,Mississippi,DE,74.4,264,4.9,24,40.0,125,4.37,7.85,2005
1295,2001,Andre Carter,California,DE,76.4,249,4.84,20,38.5,132,4.24,7.31,2011
1297,2001,Chris Chambers,Wisconsin,WR,71.6,210,4.33,20,45.0,134,4.0,7.31,2005
1298,2001,Alge Crumpler,North Carolina,TE,74.5,266,4.79,22,34.0,112,4.43,7.38,2003
